latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.32291,59,-25200,America/Los_Angeles,GMT-7
,,,,,
time,temperature_2m_min (°C),temperature_2m_max (°C),,,
2021-01-01,6.9,10.6,,,
2021-01-02,7.1,9.4,,,
2021-01-03,3.8,9.1,,,
2021-01-04,6.4,8.4,,,
2021-01-05,5.8,8.1,,,
2021-01-06,4.4,9.3,,,
2021-01-07,4.9,8.4,,,
2021-01-08,5.7,9.4,,,
2021-01-09,0,8.2,,,
2021-01-10,4.9,8.9,,,
2021-01-11,5.6,7.9,,,
2021-01-12,7.1,13,,,
2021-01-13,5.1,13,,,
2021-01-14,3,10.3,,,
2021-01-15,5.5,10.4,,,
2021-01-16,3.5,7.6,,,
2021-01-17,6.2,10.1,,,
2021-01-18,3.9,8.2,,,
2021-01-19,2.1,8.5,,,
2021-01-20,2.4,7.7,,,
2021-01-21,4.7,7.1,,,
2021-01-22,1.6,6.3,,,
2021-01-23,0.1,4.8,,,
2021-01-24,2.6,4.2,,,
2021-01-25,2.7,5.7,,,
2021-01-26,0.2,5.7,,,
2021-01-27,1.8,6.1,,,
2021-01-28,2.2,6.8,,,
2021-01-29,3.2,7.4,,,
2021-01-30,4.2,8.3,,,
2021-01-31,6,8.6,,,
2021-02-01,5.8,9.2,,,
2021-02-02,4.4,8,,,
2021-02-03,3.8,8.4,,,
2021-02-04,5,8.4,,,
2021-02-05,6.9,11.4,,,
2021-02-06,6,9.8,,,
2021-02-07,3.1,9.3,,,
2021-02-08,1.4,5.3,,,
2021-02-09,1.2,5.6,,,
2021-02-10,-0.4,5.3,,,
2021-02-11,-1,2.5,,,
2021-02-12,-2.5,1.6,,,
2021-02-13,-3,0.1,,,
2021-02-14,-0.9,1.8,,,
2021-02-15,1.4,6.7,,,
2021-02-16,2.8,8.3,,,
2021-02-17,1.8,7.4,,,
2021-02-18,1.8,6.5,,,
2021-02-19,5.2,7.8,,,
2021-02-20,4,9.6,,,
2021-02-21,6.3,10.1,,,
2021-02-22,5.2,10.6,,,
2021-02-23,2,7.8,,,
2021-02-24,1.5,6.9,,,
2021-02-25,3,7.9,,,
2021-02-26,2.7,9.1,,,
2021-02-27,0.6,8.6,,,
2021-02-28,5.2,9.9,,,
2021-03-01,4.7,12.8,,,
2021-03-02,3.5,7.9,,,
2021-03-03,1.6,11.6,,,
2021-03-04,2,12.2,,,
2021-03-05,5.4,10.1,,,
2021-03-06,5.4,9.7,,,
2021-03-07,4.1,8,,,
2021-03-08,0.4,12.4,,,
2021-03-09,1.1,10.4,,,
2021-03-10,1.6,9.9,,,
2021-03-11,2.8,10.8,,,
2021-03-12,0.4,12.1,,,
2021-03-13,0.6,13.8,,,
2021-03-14,3,8.9,,,
2021-03-15,2.5,7.5,,,
2021-03-16,-0.2,9.4,,,
2021-03-17,2,12.1,,,
2021-03-18,1.8,11.2,,,
2021-03-19,5.3,11.7,,,
2021-03-20,5.8,10.1,,,
2021-03-21,4.8,7.2,,,
2021-03-22,4.3,9.1,,,
2021-03-23,4.2,10.8,,,
2021-03-24,4.6,8.7,,,
2021-03-25,5,10.6,,,
2021-03-26,3.3,11.4,,,
2021-03-27,5.7,11.5,,,
2021-03-28,4.3,7.4,,,
2021-03-29,2.2,8.9,,,
2021-03-30,1.6,10.9,,,
2021-03-31,1.5,13.1,,,
2021-04-01,3.7,12.1,,,
2021-04-02,3.9,13.2,,,
2021-04-03,3.2,14.8,,,
2021-04-04,3.7,8.1,,,
2021-04-05,1.8,11.4,,,
2021-04-06,2.3,13.5,,,
2021-04-07,3.2,8.7,,,
2021-04-08,3.8,11.8,,,
2021-04-09,2.7,8.9,,,
2021-04-10,3.5,9,,,
2021-04-11,0.9,9.8,,,
2021-04-12,2.7,12.6,,,
2021-04-13,3.8,15.1,,,
2021-04-14,5.8,16,,,
2021-04-15,4,19.6,,,
2021-04-16,5.2,21.6,,,
